Species,Authority,Family,Seed bank type,Number of records,Max longevity (y),Minimum density per sq m,Maximum density per sq m,Mean density per sq m,Depth (cm),Method,Source code
Leontodon hispidus,L.,COMPOSITAE,4,1,,50,50,50,10,5,255
Leontodon pyrenaicus,Gouan,COMPOSITAE,4,1,,51,51,51,5,5,55
Leontodon saxatilis,Lam.,COMPOSITAE,1,2,,0,0,0,3,5,132
Leontodon saxatilis,Lam.,COMPOSITAE,1,1,,0,0,0,10,5,252
Leontodon saxatilis,Lam.,COMPOSITAE,2,1,4,-,-,-,7.5,2,196
Leontodon saxatilis,Lam.,COMPOSITAE,2,1,,75,75,75,5,5,250
Leontodon saxatilis,Lam.,COMPOSITAE,4,1,,128,128,128,5,5,69
Leontodon saxatilis,Lam.,COMPOSITAE,4,1,,910,910,910,5,5,250
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,25,4,36
Leucanthemum vulgare,Lam.,COMPOSITAE,1,3,,0,0,0,10,4,88
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,5,5,19
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,43,43,43,30,5,45
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,6,5,49
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,3,5,59
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,20,5,67
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,5,5,69
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,3,5,96
Leucanthemum vulgare,Lam.,COMPOSITAE,1,2,,2292,2292,2292,20,5,97
Leucanthemum vulgare,Lam.,COMPOSITAE,1,2,,0,0,0,6.5,5,128
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,11.5,5,134
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,10,5,149
Leucanthemum vulgare,Lam.,COMPOSITAE,1,2,,0,0,0,10,5,152
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,12,5,174
Leucanthemum vulgare,Lam.,COMPOSITAE,1,2,,0,0,0,6,5,181
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,5,5,244
Leucanthemum vulgare,Lam.,COMPOSITAE,1,1,,0,0,0,5,5,250
Leucanthemum vulgare,Lam.,COMPOSITAE,1,11,,400,400,400,5,5,251
Leucanthemum vulgare,Lam.,COMPOSITAE,1,10,,0,0,0,10,5,255
Leucanthemum vulgare,Lam.,COMPOSITAE,1,3,,53,105,70,8,7,275
Leucanthemum vulgare,Lam.,COMPOSITAE,2,1,,16,16,16,16,5,23
Leucanthemum vulgare,Lam.,COMPOSITAE,2,1,,10,10,10,15,5,62
Leucanthemum vulgare,Lam.,COMPOSITAE,2,1,,270,270,270,13,5,68
Leucanthemum vulgare,Lam.,COMPOSITAE,2,4,,313,1563,678,20,5,97
Leucanthemum vulgare,Lam.,COMPOSITAE,2,1,,37,37,37,11.5,5,134
Leucanthemum vulgare,Lam.,COMPOSITAE,2,4,,234,390,312,10,5,152
Leucanthemum vulgare,Lam.,COMPOSITAE,2,2,,22,93,58,12,5,174
Leucanthemum vulgare,Lam.,COMPOSITAE,2,1,,600,600,600,5,5,251
Leucanthemum vulgare,Lam.,COMPOSITAE,2,2,,122,515,319,10,5,252
Leucanthemum vulgare,Lam.,COMPOSITAE,2,5,,38,150,65,10,5,255
Leucanthemum vulgare,Lam.,COMPOSITAE,2,2,,77,230,154,6.5,7,182
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,>30,-,-,-,15,1,240
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,>39,-,-,-,50,1,240
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,30,-,-,-,100,1,240
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,>5,-,-,-,7.5,2,196
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,,375,375,375,10,4,88
Leucanthemum vulgare,Lam.,COMPOSITAE,3,3,,65,538,330,30,5,45
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,,600,600,600,6.5,5,68
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,,1000,1000,1000,20,5,69
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,,313,313,313,20,5,97
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,>15,33,33,33,24,5,168
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,>35,33,33,33,24,5,168
Leucanthemum vulgare,Lam.,COMPOSITAE,3,1,>20,78,78,78,24,5,168
Leucanthemum vulgare,Lam.,COMPOSITAE,4,1,,1438,1438,1438,5,4,88
Leucanthemum vulgare,Lam.,COMPOSITAE,4,1,,14,14,14,10,5,33
Leucanthemum vulgare,Lam.,COMPOSITAE,4,2,,23,40,32,7,5,58
Leucanthemum vulgare,Lam.,COMPOSITAE,4,1,,1238,1238,1238,3,5,59
Leucanthemum vulgare,Lam.,COMPOSITAE,4,2,,320,688,504,5,5,69
Leucanthemum vulgare,Lam.,COMPOSITAE,4,3,,50,100,67,3,5,96
Leucanthemum vulgare,Lam.,COMPOSITAE,4,1,,99,99,99,11.5,5,134
Leucanthemum vulgare,Lam.,COMPOSITAE,4,2,,88,263,176,10,5,150
Leucanthemum vulgare,Lam.,COMPOSITAE,4,5,,20,780,347,10,5,152
Leucanthemum vulgare,Lam.,COMPOSITAE,4,2,,151,427,289,17.8,5,155
Leucanthemum vulgare,Lam.,COMPOSITAE,4,1,,9,9,9,12,5,174
Leucanthemum vulgare,Lam.,COMPOSITAE,4,7,,38,150,100,10,5,255
Matricaria discoidea,DC.,COMPOSITAE,1,1,,0,0,0,3,5,96
Matricaria discoidea,DC.,COMPOSITAE,1,2,,53,53,53,8,7,275
Matricaria discoidea,DC.,COMPOSITAE,2,1,>2,-,-,-,2,1,47
Matricaria discoidea,DC.,COMPOSITAE,2,1,>2,-,-,-,15,1,47
Matricaria discoidea,DC.,COMPOSITAE,2,1,,208,208,208,5,5,69
Matricaria discoidea,DC.,COMPOSITAE,2,8,,50,2517,565,3,5,96
Matricaria discoidea,DC.,COMPOSITAE,2,1,,33,33,33,8,5,108
Matricaria discoidea,DC.,COMPOSITAE,2,1,,38,38,38,4,5,162
Matricaria discoidea,DC.,COMPOSITAE,2,1,,88,88,88,5,5,244
Matricaria discoidea,DC.,COMPOSITAE,2,1,,138,138,138,10,5,255
Matricaria discoidea,DC.,COMPOSITAE,2,2,,20,23,22,3,7,235
Matricaria discoidea,DC.,COMPOSITAE,2,1,,233,233,233,8,7,275
Matricaria discoidea,DC.,COMPOSITAE,3,1,>4,-,-,-,100,1,54
Matricaria discoidea,DC.,COMPOSITAE,3,1,>5,-,-,-,2.5,1,203
Matricaria discoidea,DC.,COMPOSITAE,3,1,>5,-,-,-,7.5,1,203
Matricaria discoidea,DC.,COMPOSITAE,3,1,>5,-,-,-,15,1,203
Matricaria discoidea,DC.,COMPOSITAE,3,1,>5,-,-,-,2.5,2,203
Matricaria discoidea,DC.,COMPOSITAE,3,1,>5,-,-,-,7.5,2,203
Matricaria discoidea,DC.,COMPOSITAE,3,1,>5,-,-,-,15,2,203
Matricaria discoidea,DC.,COMPOSITAE,3,3,>5,-,-,-,7.5,2,206
Matricaria discoidea,DC.,COMPOSITAE,4,18,,40,5188,1304,30,4,13
Matricaria discoidea,DC.,COMPOSITAE,4,1,,182,182,182,20,4,111
Matricaria discoidea,DC.,COMPOSITAE,4,2,,867,2300,1584,3,5,96
Matricaria discoidea,DC.,COMPOSITAE,4,1,,425,425,425,20,5,118
Matricaria discoidea,DC.,COMPOSITAE,4,1,,51747,51747,51747,15,5,207
Matricaria recutita,L.,COMPOSITAE,1,2,,0,0,0,25,4,36
Matricaria recutita,L.,COMPOSITAE,1,8,,53,158,105,8,7,275
Matricaria recutita,L.,COMPOSITAE,2,1,,492,492,492,25,4,36
Matricaria recutita,L.,COMPOSITAE,2,1,,192,192,192,5,5,69
Matricaria recutita,L.,COMPOSITAE,2,1,,16,16,16,100,5,219
Matricaria recutita,L.,COMPOSITAE,2,4,,52,562,274,15,5,272
Matricaria recutita,L.,COMPOSITAE,3,3,>5,-,-,-,7.5,2,206
Matricaria recutita,L.,COMPOSITAE,3,1,>11,-,-,-,25,3,209
Matricaria recutita,L.,COMPOSITAE,3,1,>20,1780,1780,1780,20,5,40
Matricaria recutita,L.,COMPOSITAE,4,3,,6,258,101,25,4,36
Matricaria recutita,L.,COMPOSITAE,4,2,,1238,4148,2693,25,4,185
Matricaria recutita,L.,COMPOSITAE,4,8,,55,882,561,10,5,15
Matricaria recutita,L.,COMPOSITAE,4,1,,3112,3112,3112,15,5,207
Matricaria recutita,L.,COMPOSITAE,4,1,,333,333,333,25,5,260
Matricaria recutita,L.,COMPOSITAE,4,1,,778,778,778,50,5,260
Matricaria recutita,L.,COMPOSITAE,4,4,,402,6542,3134,15,5,272
Matricaria recutita,L.,COMPOSITAE,4,2,,53,88,71,8,7,275
Mycelis muralis,(L.) Dumort.,COMPOSITAE,1,1,,0,0,0,12,5,171
Mycelis muralis,(L.) Dumort.,COMPOSITAE,2,1,,0,0,0,5,6,170
Mycelis muralis,(L.) Dumort.,COMPOSITAE,4,1,,6,6,6,10,5,120
Onopordum acanthium,L.,COMPOSITAE,2,1,,750,750,750,17,5,162
Onopordum acanthium,L.,COMPOSITAE,3,1,>30,-,-,-,15,1,240
Onopordum acanthium,L.,COMPOSITAE,3,1,>39,-,-,-,50,1,240
Onopordum acanthium,L.,COMPOSITAE,3,1,>39,-,-,-,100,1,240
Onopordum acanthium,L.,COMPOSITAE,3,3,>5,-,-,-,7.5,2,201
Petasites albus,(L.) Gaertner,COMPOSITAE,1,1,,0,0,0,5,5,213
Petasites hybridus,"(L.) P. Gaertner, B. Meyer & Scherb.",COMPOSITAE,1,2,,0,0,0,20,4,225
Petasites hybridus,"(L.) P. Gaertner, B. Meyer & Scherb.",COMPOSITAE,1,2,,0,0,0,10,5,255
Picris echioides,L.,COMPOSITAE,1,2,,0,0,0,10,4,22
Picris echioides,L.,COMPOSITAE,4,1,,78,78,78,25,4,136
Picris hieracioides,L.,COMPOSITAE,1,1,,0,0,0,25,4,36
Picris hieracioides,L.,COMPOSITAE,2,1,,9,9,9,6,5,211
Picris hieracioides,L.,COMPOSITAE,3,3,>5,-,-,-,7.5,2,206
Picris hieracioides,L.,COMPOSITAE,3,1,>20,44,44,44,24,5,168
Pilosella aurantiaca,(L.) F. Schultz & Schultz-Bip.,COMPOSITAE,1,2,,0,0,0,3,5,59
Pilosella aurantiaca,(L.) F. Schultz & Schultz-Bip.,COMPOSITAE,1,1,,0,0,0,11.5,5,134
Pilosella aurantiaca,(L.) F. Schultz & Schultz-Bip.,COMPOSITAE,2,2,,49,74,62,11.5,5,134
Pilosella aurantiaca,(L.) F. Schultz & Schultz-Bip.,COMPOSITAE,4,1,,65,65,65,3,5,59
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,1,,0,0,0,8.5,4,254
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,1,,0,0,0,6,5,67
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,1,,0,0,0,5,5,69
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,1,,0,0,0,9,5,84
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,5,,0,0,0,3,5,96
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,2,,0,0,0,10,5,110
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,2,,0,0,0,5,5,122
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,2,,0,0,0,10,5,150
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,1,,0,0,0,2,5,153
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,1,,0,0,0,6,5,181
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,4,,0,0,0,10,5,255
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,1,,26,26,26,2,7,99
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,1,2,,0,3,2,3,7,235
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,2,5,>1,-,-,-,,1,275
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,2,1,,898,898,898,6,5,48
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,3,1,>5,-,-,-,7.5,2,196
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,4,1,,112,112,112,5,5,69
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,4,1,,50,50,50,3,5,96
Pilosella officinarum,(Pugsley) Sell & C. West,COMPOSITAE,4,2,,25,28,27,10,5,110
Pulicaria dysenterica,(L.) Bernh.,COMPOSITAE,1,1,,0,0,0,5,5,250
Pulicaria dysenterica,(L.) Bernh.,COMPOSITAE,2,5,>1,-,-,-,,1,275
Scolymus hispanicus,L.,COMPOSITAE,1,1,,0,0,0,3,5,132
Scorzonera humilis,L.,COMPOSITAE,1,2,,0,0,0,10,5,149
Scorzonera humilis,L.,COMPOSITAE,1,1,,0,0,0,10,5,152
Senecio aquaticus,Hill,COMPOSITAE,1,2,,0,0,0,6.5,5,128
Senecio aquaticus,Hill,COMPOSITAE,1,3,,0,0,0,6,5,208
Senecio aquaticus,Hill,COMPOSITAE,4,2,,200,540,370,6.5,5,128
Senecio erucifolius,L.,COMPOSITAE,1,1,,0,0,0,6,5,181
Senecio erucifolius,L.,COMPOSITAE,1,1,,0,0,0,10,5,255
Senecio erucifolius,L.,COMPOSITAE,3,1,>5,-,-,-,7.5,2,196
Senecio helenitis,(L.) Schinz & Thell.,COMPOSITAE,4,1,,20,20,20,30,4,13
Senecio jacobaea,L.,COMPOSITAE,1,2,,0,0,0,5,5,69
Senecio jacobaea,L.,COMPOSITAE,1,6,,0,0,0,3,5,96
Senecio jacobaea,L.,COMPOSITAE,1,1,,24,24,24,20,5,219
Senecio jacobaea,L.,COMPOSITAE,1,2,,0,0,0,6.5,7,182
Senecio jacobaea,L.,COMPOSITAE,1,1,,3,3,3,3,7,235
Senecio jacobaea,L.,COMPOSITAE,2,1,4,-,-,-,7.5,2,196
Senecio jacobaea,L.,COMPOSITAE,2,1,,2583,2583,2583,30,5,45
Senecio jacobaea,L.,COMPOSITAE,3,1,>4,-,-,-,200,1,54
Senecio jacobaea,L.,COMPOSITAE,3,1,>6,-,-,-,1,3,231
Senecio jacobaea,L.,COMPOSITAE,3,1,>6,-,-,-,5,3,231
Senecio jacobaea,L.,COMPOSITAE,3,1,>6,-,-,-,10,3,231
Senecio jacobaea,L.,COMPOSITAE,3,1,>6,-,-,-,20,3,231
Senecio jacobaea,L.,COMPOSITAE,4,3,,13,44,31,10,5,110
Senecio nemorensis,L.,COMPOSITAE,1,1,,0,0,0,10,5,181
Senecio nemorensis,L.,COMPOSITAE,1,1,,56,56,56,50,5,219
Senecio nemorensis,L.,COMPOSITAE,1,3,,0,0,0,10,5,255
Senecio squalidus,L.,COMPOSITAE,3,1,>5,-,-,-,7.5,2,196
Senecio sylvaticus,L.,COMPOSITAE,3,1,>5,-,-,-,7.5,2,196
Senecio sylvaticus,L.,COMPOSITAE,4,2,,67,167,117,3,5,96
Senecio sylvaticus,L.,COMPOSITAE,4,1,,2224,2224,2224,10,5,120
Senecio viscosus,L.,COMPOSITAE,2,1,,40,40,40,6,5,211
Senecio viscosus,L.,COMPOSITAE,3,1,>5,-,-,-,7.5,2,196
Senecio viscosus,L.,COMPOSITAE,3,1,,36,36,36,6,5,211
Senecio vulgaris,L.,COMPOSITAE,1,4,,0,0,0,10,4,22
Senecio vulgaris,L.,COMPOSITAE,1,1,,0,0,0,25,4,36
Senecio vulgaris,L.,COMPOSITAE,1,1,,0,0,0,50,5,66
Senecio vulgaris,L.,COMPOSITAE,1,1,,0,0,0,15,5,142
Senecio vulgaris,L.,COMPOSITAE,1,1,,6,6,6,6,5,211
Senecio vulgaris,L.,COMPOSITAE,1,1,,0,0,0,10,5,255
Senecio vulgaris,L.,COMPOSITAE,1,1,,53,53,53,8,7,275
Senecio vulgaris,L.,COMPOSITAE,2,1,4,-,-,-,2.5,1,203
Senecio vulgaris,L.,COMPOSITAE,2,1,>2,-,-,-,20,1,219
Senecio vulgaris,L.,COMPOSITAE,2,1,4,-,-,-,2.5,2,203
Senecio vulgaris,L.,COMPOSITAE,2,1,4,-,-,-,7.5,2,203
Senecio vulgaris,L.,COMPOSITAE,2,1,4,-,-,-,15,2,203
Senecio vulgaris,L.,COMPOSITAE,2,1,3,-,-,-,25,3,209
Senecio vulgaris,L.,COMPOSITAE,2,1,,14,14,14,25,4,36
Senecio vulgaris,L.,COMPOSITAE,2,1,,2242,2242,2242,7.5,5,10
Senecio vulgaris,L.,COMPOSITAE,2,1,,166,166,166,15,5,62
Senecio vulgaris,L.,COMPOSITAE,2,2,,1800,6400,4100,30,5,66
Senecio vulgaris,L.,COMPOSITAE,2,2,,83,100,92,3,5,96
Senecio vulgaris,L.,COMPOSITAE,2,1,,22,22,22,10,5,110
Senecio vulgaris,L.,COMPOSITAE,2,1,,112,112,112,38,5,186
Senecio vulgaris,L.,COMPOSITAE,2,1,,76,76,76,40,5,219
Senecio vulgaris,L.,COMPOSITAE,2,1,,4,4,4,5,5,244
Senecio vulgaris,L.,COMPOSITAE,3,1,>5,-,-,-,7.5,1,203
Senecio vulgaris,L.,COMPOSITAE,3,1,>5,-,-,-,15,1,203
Senecio vulgaris,L.,COMPOSITAE,3,1,>5,-,-,-,7.5,2,193
Senecio vulgaris,L.,COMPOSITAE,3,1,,150,150,150,20,5,4
Senecio vulgaris,L.,COMPOSITAE,3,1,,16,16,16,70,5,219
Senecio vulgaris,L.,COMPOSITAE,3,1,,8,8,8,5,5,234
Senecio vulgaris,L.,COMPOSITAE,4,2,,26,73,50,30,4,13
Senecio vulgaris,L.,COMPOSITAE,4,7,,28,411,196,15,4,30
Senecio vulgaris,L.,COMPOSITAE,4,2,,48,104,76,15,4,31
Senecio vulgaris,L.,COMPOSITAE,4,2,,8,12,10,25,4,36
Senecio vulgaris,L.,COMPOSITAE,4,1,,84,84,84,20,5,111
Senecio vulgaris,L.,COMPOSITAE,4,1,,400,400,400,20,5,118
Senecio vulgaris,L.,COMPOSITAE,4,1,,457,457,457,23,5,202
Senecio vulgaris,L.,COMPOSITAE,4,1,,50,50,50,15,5,205
Senecio vulgaris,L.,COMPOSITAE,4,1,,4001,4001,4001,15,5,207
Seriphidium maritimum,(L.) Polj.,COMPOSITAE,1,2,,0,0,0,1,5,57
Seriphidium maritimum,(L.) Polj.,COMPOSITAE,2,1,,1000,1000,1000,1,5,57
Seriphidium maritimum,(L.) Polj.,COMPOSITAE,4,2,,800,1200,1000,1,5,57
Serratula tinctoria,L.,COMPOSITAE,1,1,,4,4,4,3,7,235
Solidago canadensis,L.,COMPOSITAE,1,2,,0,0,0,11.5,5,134
Solidago canadensis,L.,COMPOSITAE,4,3,,37,421,202,11.5,5,134
Solidago canadensis,L.,COMPOSITAE,4,1,,1,1,1,5,5,166
Solidago gigantea,Aiton,COMPOSITAE,1,1,,0,0,0,10,5,255
Solidago gigantea,Aiton,COMPOSITAE,4,1,,14,14,14,10,5,33
Solidago graminifolia,(L.) Salisb.,COMPOSITAE,1,1,,0,0,0,5,5,19
Solidago graminifolia,(L.) Salisb.,COMPOSITAE,2,1,,590,590,590,15,5,94
Solidago graminifolia,(L.) Salisb.,COMPOSITAE,4,2,,1180,1310,1245,15,5,94
Solidago graminifolia,(L.) Salisb.,COMPOSITAE,4,1,,19,19,19,5,5,117
Solidago virgaurea,L.,COMPOSITAE,1,1,,0,0,0,2,5,82
Solidago virgaurea,L.,COMPOSITAE,1,2,,0,0,0,5,5,82
Solidago virgaurea,L.,COMPOSITAE,1,3,,0,0,0,10,5,150
Solidago virgaurea,L.,COMPOSITAE,1,1,,0,0,0,12,5,171
Solidago virgaurea,L.,COMPOSITAE,1,3,,0,0,0,10,5,255
Solidago virgaurea,L.,COMPOSITAE,1,4,,0,0,0,15,5,257
Solidago virgaurea,L.,COMPOSITAE,1,1,,0,0,0,5,6,170
Solidago virgaurea,L.,COMPOSITAE,1,1,,0,0,0,3,7,235
Solidago virgaurea,L.,COMPOSITAE,2,1,,0,0,0,5,6,170
Sonchus arvensis,L.,COMPOSITAE,1,1,,160,160,160,38,5,186
Sonchus arvensis,L.,COMPOSITAE,2,3,>3,-,-,-,7,2,44
Sonchus arvensis,L.,COMPOSITAE,2,2,1,-,-,-,7,2,44
Sonchus arvensis,L.,COMPOSITAE,2,1,3,-,-,-,7,2,44
Sonchus arvensis,L.,COMPOSITAE,2,2,4,-,-,-,7,2,44
Sonchus arvensis,L.,COMPOSITAE,2,2,,600,600,600,10,4,20
Sonchus arvensis,L.,COMPOSITAE,2,1,,150,150,150,20,5,4
Sonchus arvensis,L.,COMPOSITAE,2,1,,10,10,10,6,5,49
Sonchus arvensis,L.,COMPOSITAE,2,1,,193,193,193,15,5,62
Sonchus arvensis,L.,COMPOSITAE,2,3,,60,220,140,10,5,149
Sonchus arvensis,L.,COMPOSITAE,2,3,,37,133,92,5,5,177
Sonchus arvensis,L.,COMPOSITAE,3,1,>6,-,-,-,7,2,44
Sonchus arvensis,L.,COMPOSITAE,3,3,>5,-,-,-,7.5,2,206
Sonchus arvensis,L.,COMPOSITAE,4,7,,20,346,109,30,4,13
Sonchus arvensis,L.,COMPOSITAE,4,7,,6,149,48,15,4,30
Sonchus arvensis,L.,COMPOSITAE,4,1,,25,25,25,20,4,111
Sonchus arvensis,L.,COMPOSITAE,4,3,,14,58,31,10,5,8
Sonchus arvensis,L.,COMPOSITAE,4,1,,775,775,775,20,5,118
Sonchus arvensis,L.,COMPOSITAE,4,1,,5,5,5,5,5,166
Sonchus arvensis,L.,COMPOSITAE,4,1,,74,74,74,5,5,177
Sonchus arvensis,L.,COMPOSITAE,4,2,,158,667,413,25,5,260
Sonchus asper,(L.) Hill,COMPOSITAE,1,4,,0,0,0,10,4,22
Sonchus asper,(L.) Hill,COMPOSITAE,1,1,,0,0,0,25,4,36
Sonchus asper,(L.) Hill,COMPOSITAE,1,1,,240,240,240,6,5,48
Sonchus asper,(L.) Hill,COMPOSITAE,1,1,,800,800,800,30,5,66
Sonchus asper,(L.) Hill,COMPOSITAE,1,1,,0,0,0,6.5,5,128
Sonchus asper,(L.) Hill,COMPOSITAE,1,1,,0,0,0,10,5,255
Sonchus asper,(L.) Hill,COMPOSITAE,1,5,,53,158,84,8,7,275
Sonchus asper,(L.) Hill,COMPOSITAE,2,1,,14,14,14,25,4,36
Sonchus asper,(L.) Hill,COMPOSITAE,2,1,,1200,1200,1200,50,5,66
Sonchus asper,(L.) Hill,COMPOSITAE,2,1,,112,112,112,5,5,69
Sonchus asper,(L.) Hill,COMPOSITAE,2,3,,50,83,67,3,5,96
Sonchus asper,(L.) Hill,COMPOSITAE,2,1,,100,100,100,6.5,5,128
Sonchus asper,(L.) Hill,COMPOSITAE,2,1,,6,6,6,5,5,244
Sonchus asper,(L.) Hill,COMPOSITAE,2,1,,108,108,108,10,5,252
Sonchus asper,(L.) Hill,COMPOSITAE,2,4,,114,822,310,8,7,275
Sonchus asper,(L.) Hill,COMPOSITAE,3,3,>5,-,-,-,7.5,2,206
Sonchus asper,(L.) Hill,COMPOSITAE,3,1,>11,-,-,-,25,3,209
Sonchus asper,(L.) Hill,COMPOSITAE,3,1,>10,431,431,431,30,5,29
Sonchus asper,(L.) Hill,COMPOSITAE,3,1,,1820,1820,1820,12,5,81
Sonchus asper,(L.) Hill,COMPOSITAE,4,20,,20,1465,147,30,4,13
Sonchus asper,(L.) Hill,COMPOSITAE,4,3,,6,10,7,25,4,36
Sonchus asper,(L.) Hill,COMPOSITAE,4,1,,79,79,79,20,4,111
Sonchus asper,(L.) Hill,COMPOSITAE,4,3,,17,98,56,7,5,58
Sonchus asper,(L.) Hill,COMPOSITAE,4,3,,28,60,40,10,5,110
Sonchus asper,(L.) Hill,COMPOSITAE,4,1,,963,963,963,15,5,207
Sonchus asper,(L.) Hill,COMPOSITAE,4,1,,176,176,176,25,5,260
Sonchus oleraceus,L.,COMPOSITAE,1,1,,0,0,0,10,4,22
Sonchus oleraceus,L.,COMPOSITAE,1,1,,0,0,0,25,4,36
Sonchus oleraceus,L.,COMPOSITAE,1,1,,0,0,0,30,5,66
Sonchus oleraceus,L.,COMPOSITAE,1,3,,0,0,0,10,5,255
Sonchus oleraceus,L.,COMPOSITAE,2,1,,30,30,30,10,4,22
Sonchus oleraceus,L.,COMPOSITAE,2,2,,32,75,54,30,5,45
Sonchus oleraceus,L.,COMPOSITAE,2,1,,460,460,460,15,5,94
Sonchus oleraceus,L.,COMPOSITAE,2,3,,50,317,150,3,5,96
Sonchus oleraceus,L.,COMPOSITAE,2,1,,203,203,203,17.8,5,155
Sonchus oleraceus,L.,COMPOSITAE,2,2,,42,46,44,6,5,211
Sonchus oleraceus,L.,COMPOSITAE,2,1,,144,144,144,70,5,219
Sonchus oleraceus,L.,COMPOSITAE,2,1,,180,180,180,100,5,219
Sonchus oleraceus,L.,COMPOSITAE,2,3,,20,52,31,15,5,272
Sonchus oleraceus,L.,COMPOSITAE,3,3,>5,-,-,-,7.5,2,206
Sonchus oleraceus,L.,COMPOSITAE,3,1,>11,-,-,-,25,3,209
Sonchus oleraceus,L.,COMPOSITAE,3,1,,43,43,43,30,5,45
Sonchus oleraceus,L.,COMPOSITAE,3,1,,8,8,8,8,5,108
Sonchus oleraceus,L.,COMPOSITAE,3,1,,252,252,252,17.8,5,155
Sonchus oleraceus,L.,COMPOSITAE,3,1,>20,67,67,67,16,5,168
Sonchus oleraceus,L.,COMPOSITAE,4,1,,37,37,37,10,4,22
Sonchus oleraceus,L.,COMPOSITAE,4,4,,37,487,218,7.5,5,10
Sonchus oleraceus,L.,COMPOSITAE,4,1,,13,13,13,10,5,33
Sonchus oleraceus,L.,COMPOSITAE,4,2,,170,1290,730,15,5,94
Sonchus oleraceus,L.,COMPOSITAE,4,1,,100,100,100,3,5,96
Sonchus oleraceus,L.,COMPOSITAE,4,1,,1581,1581,1581,15,5,207
Sonchus oleraceus,L.,COMPOSITAE,4,2,,38,100,69,10,5,255
Sonchus oleraceus,L.,COMPOSITAE,4,2,,99,424,262,15,5,272
Tanacetum vulgare,L.,COMPOSITAE,1,1,,0,0,0,5,5,69
Tanacetum vulgare,L.,COMPOSITAE,1,1,,12,12,12,50,5,219
Tanacetum vulgare,L.,COMPOSITAE,1,2,,0,0,0,10,5,255
Tanacetum vulgare,L.,COMPOSITAE,1,1,,0,0,0,3,7,235
Tanacetum vulgare,L.,COMPOSITAE,1,3,,53,79,62,8,7,275
Tanacetum vulgare,L.,COMPOSITAE,2,1,,338,338,338,10,5,255
Tanacetum vulgare,L.,COMPOSITAE,4,3,,113,263,192,10,5,255
Taraxacum officinale,,COMPOSITAE,1,3,,0,0,0,5,4,53
Taraxacum officinale,,COMPOSITAE,1,1,,0,0,0,5,4,88
Taraxacum officinale,,COMPOSITAE,1,2,,0,0,0,20,4,225
Taraxacum officinale,,COMPOSITAE,1,1,,0,0,0,8.5,4,254
Taraxacum officinale,,COMPOSITAE,1,1,,0,0,0,25,5,2
Taraxacum officinale,,COMPOSITAE,1,7,,0,0,0,10,5,27
Taraxacum officinale,,COMPOSITAE,1,6,,0,0,0,6,5,28
Taraxacum officinale,,COMPOSITAE,1,2,,0,43,22,30,5,45
